O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
11-1011.00,Chief Executives,2.A.1.a,Reading Comprehension,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.a,Reading Comprehension,LV,Level,4.62,8,0.1830,4.2664,4.9836,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.b,Active Listening,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.b,Active Listening,LV,Level,4.75,8,0.1637,4.4292,5.0708,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.c,Writing,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.c,Writing,LV,Level,4.38,8,0.1830,4.0164,4.7336,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.d,Speaking,IM,Importance,4.25,8,0.1637,3.9292,4.5708,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.d,Speaking,LV,Level,4.75,8,0.1637,4.4292,5.0708,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.e,Mathematics,IM,Importance,3.25,8,0.2500,2.7600,3.7400,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.e,Mathematics,LV,Level,3.50,8,0.2673,2.9762,4.0238,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.f,Science,IM,Importance,1.62,8,0.1830,1.2664,1.9836,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.1.f,Science,LV,Level,0.75,8,0.2500,0.2600,1.2400,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.2.a,Critical Thinking,IM,Importance,4.38,8,0.1830,4.0164,4.7336,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.2.a,Critical Thinking,LV,Level,4.75,8,0.1637,4.4292,5.0708,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.2.b,Active Learning,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.2.b,Active Learning,LV,Level,4.50,8,0.1890,4.1296,4.8704,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.2.c,Learning Strategies,IM,Importance,3.12,8,0.1250,2.8800,3.3700,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.2.c,Learning Strategies,LV,Level,3.75,8,0.1637,3.4292,4.0708,N,N,08/2023,Analyst
11-1011.00,Chief Executives,2.A.2.d,Monitoring,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst
11-1011.00,Chief Executives,2.A.2.d,Monitoring,LV,Level,5.25,8,0.2500,4.7600,5.7400,N,N,08/2023,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.a,Reading Comprehension,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.a,Reading Comprehension,LV,Level,4.25,8,0.1637,3.9292,4.5708,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.b,Active Listening,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.b,Active Listening,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.c,Writing,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.c,Writing,LV,Level,4.25,8,0.1637,3.9292,4.5708,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.d,Speaking,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.d,Speaking,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.e,Mathematics,IM,Importance,2.88,8,0.1250,2.6300,3.1200,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.e,Mathematics,LV,Level,3.12,8,0.1250,2.8800,3.3700,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.f,Science,IM,Importance,2.12,8,0.1250,1.8800,2.3700,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.1.f,Science,LV,Level,1.88,8,0.2266,1.4309,2.3191,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.2.a,Critical Thinking,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.2.a,Critical Thinking,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.2.b,Active Learning,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.2.b,Active Learning,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.2.c,Learning Strategies,IM,Importance,3.38,8,0.1830,3.0164,3.7336,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.2.c,Learning Strategies,LV,Level,3.75,8,0.1637,3.4292,4.0708,N,N,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.2.d,Monitoring,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2021,Analyst
11-1011.03,Chief Sustainability Officers,2.A.2.d,Monitoring,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2021,Analyst
11-1021.00,General and Operations Managers,2.A.1.a,Reading Comprehension,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.a,Reading Comprehension,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.b,Active Listening,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.b,Active Listening,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.c,Writing,IM,Importance,3.50,8,0.1890,3.1296,3.8704,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.c,Writing,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.d,Speaking,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.d,Speaking,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.e,Mathematics,IM,Importance,2.62,8,0.1830,2.2664,2.9836,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.e,Mathematics,LV,Level,2.75,8,0.2500,2.2600,3.2400,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.f,Science,IM,Importance,1.50,8,0.1890,1.1296,1.8704,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.1.f,Science,LV,Level,0.62,8,0.2631,0.1094,1.1406,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.2.a,Critical Thinking,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.2.a,Critical Thinking,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.2.b,Active Learning,IM,Importance,3.62,8,0.1830,3.2664,3.9836,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.2.b,Active Learning,LV,Level,3.75,8,0.1637,3.4292,4.0708,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.2.c,Learning Strategies,IM,Importance,3.00,8,0.0000,3.0000,3.0000,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.2.c,Learning Strategies,LV,Level,3.12,8,0.1250,2.8800,3.3700,N,N,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.2.d,Monitoring,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2023,Analyst
11-1021.00,General and Operations Managers,2.A.2.d,Monitoring,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2023,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.a,Reading Comprehension,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.a,Reading Comprehension,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.b,Active Listening,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.b,Active Listening,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
