Essential Skills Element ID,Essential Skills Element Name,Work Activities Element ID,Work Activities Element Name
2.A.1.a,Reading Comprehension,4.A.1.a.1,Getting Information
2.A.1.a,Reading Comprehension,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
2.A.1.a,Reading Comprehension,4.A.1.b.1,"Identifying Objects, Actions, and Events"
2.A.1.a,Reading Comprehension,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
2.A.1.a,Reading Comprehension,4.A.2.a.2,Processing Information
2.A.1.a,Reading Comprehension,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards
2.A.1.a,Reading Comprehension,4.A.2.a.4,Analyzing Data or Information
2.A.1.a,Reading Comprehension,4.A.2.b.1,Making Decisions and Solving Problems
2.A.1.a,Reading Comprehension,4.A.2.b.3,Updating and Using Relevant Knowledge
2.A.1.a,Reading Comprehension,4.A.3.b.1,Working with Computers
2.A.1.a,Reading Comprehension,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2.A.1.a,Reading Comprehension,4.A.4.a.1,Interpreting the Meaning of Information for Others
2.A.1.a,Reading Comprehension,4.A.4.b.3,Training and Teaching Others
2.A.1.a,Reading Comprehension,4.A.4.b.6,Providing Consultation and Advice to Others
2.A.1.a,Reading Comprehension,4.A.4.c.1,Performing Administrative Activities
2.A.1.b,Active Listening,4.A.1.a.1,Getting Information
2.A.1.b,Active Listening,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
2.A.1.b,Active Listening,4.A.1.b.1,"Identifying Objects, Actions, and Events"
2.A.1.b,Active Listening,4.A.2.b.1,Making Decisions and Solving Problems
2.A.1.b,Active Listening,4.A.2.b.3,Updating and Using Relevant Knowledge
2.A.1.b,Active Listening,4.A.4.a.1,Interpreting the Meaning of Information for Others
2.A.1.b,Active Listening,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
2.A.1.b,Active Listening,4.A.4.a.3,Communicating with People Outside the Organization
2.A.1.b,Active Listening,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships
2.A.1.b,Active Listening,4.A.4.a.5,Assisting and Caring for Others
2.A.1.b,Active Listening,4.A.4.a.6,Selling or Influencing Others
2.A.1.b,Active Listening,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
2.A.1.b,Active Listening,4.A.4.a.8,Performing for or Working Directly with the Public
2.A.1.b,Active Listening,4.A.4.b.1,Coordinating the Work and Activities of Others
2.A.1.b,Active Listening,4.A.4.b.2,Developing and Building Teams
2.A.1.b,Active Listening,4.A.4.b.3,Training and Teaching Others
2.A.1.b,Active Listening,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
2.A.1.b,Active Listening,4.A.4.b.5,Coaching and Developing Others
2.A.1.b,Active Listening,4.A.4.b.6,Providing Consultation and Advice to Others
2.A.1.b,Active Listening,4.A.4.c.2,Staffing Organizational Units
2.A.1.c,Writing,4.A.2.b.4,Developing Objectives and Strategies
2.A.1.c,Writing,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2.A.1.c,Writing,4.A.3.b.6,Documenting/Recording Information
2.A.1.c,Writing,4.A.4.a.1,Interpreting the Meaning of Information for Others
2.A.1.c,Writing,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
2.A.1.c,Writing,4.A.4.a.3,Communicating with People Outside the Organization
2.A.1.c,Writing,4.A.4.b.3,Training and Teaching Others
2.A.1.c,Writing,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
2.A.1.c,Writing,4.A.4.b.6,Providing Consultation and Advice to Others
2.A.1.c,Writing,4.A.4.c.1,Performing Administrative Activities
2.A.1.d,Speaking,4.A.2.b.4,Developing Objectives and Strategies
2.A.1.d,Speaking,4.A.4.a.1,Interpreting the Meaning of Information for Others
2.A.1.d,Speaking,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
2.A.1.d,Speaking,4.A.4.a.3,Communicating with People Outside the Organization
2.A.1.d,Speaking,4.A.4.a.4,Establishing and Maintaining Interpersonal Relationships
2.A.1.d,Speaking,4.A.4.a.5,Assisting and Caring for Others
2.A.1.d,Speaking,4.A.4.a.6,Selling or Influencing Others
2.A.1.d,Speaking,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
2.A.1.d,Speaking,4.A.4.a.8,Performing for or Working Directly with the Public
2.A.1.d,Speaking,4.A.4.b.1,Coordinating the Work and Activities of Others
2.A.1.d,Speaking,4.A.4.b.2,Developing and Building Teams
2.A.1.d,Speaking,4.A.4.b.3,Training and Teaching Others
2.A.1.d,Speaking,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
2.A.1.d,Speaking,4.A.4.b.5,Coaching and Developing Others
2.A.1.d,Speaking,4.A.4.b.6,Providing Consultation and Advice to Others
2.A.1.d,Speaking,4.A.4.c.2,Staffing Organizational Units
2.A.1.e,Mathematics,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information"
2.A.1.e,Mathematics,4.A.2.a.2,Processing Information
2.A.2.a,Critical Thinking,4.A.1.a.1,Getting Information
2.A.2.a,Critical Thinking,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings"
2.A.2.a,Critical Thinking,4.A.1.b.1,"Identifying Objects, Actions, and Events"
