O*NET-SOC Code,Title,Job Title,Short Title,Source(s)
11-1011.00,Chief Executives,Aeronautics Commission Director,,08
11-1011.00,Chief Executives,Agency Owner,,10
11-1011.00,Chief Executives,Agricultural Services Director,,08
11-1011.00,Chief Executives,Arts and Humanities Council Director,,08
11-1011.00,Chief Executives,Bank President,,09
11-1011.00,Chief Executives,Bureau Chief,,"04,07"
11-1011.00,Chief Executives,Business Development Executive (BD Executive),BD Executive,09
11-1011.00,Chief Executives,Business Development Officer (BD Officer),BD Officer,09
11-1011.00,Chief Executives,Business Enterprise Officer,,08
11-1011.00,Chief Executives,Business Executive,,09
11-1011.00,Chief Executives,CEO (Chief Executive Officer),CEO,"02,04,08,10"
11-1011.00,Chief Executives,Chief Administrative Officer (CAO),CAO,09
11-1011.00,Chief Executives,Chief Diversity Officer (CDO),CDO,02
11-1011.00,Chief Executives,Chief Financial Officer (CFO),CFO,"01,02,04,08"
11-1011.00,Chief Executives,Chief Information Officer (CIO),CIO,"02,08"
11-1011.00,Chief Executives,Chief Information Security Officer (CISO),CISO,01
11-1011.00,Chief Executives,Chief Innovation Officer (CINO),CINO,08
11-1011.00,Chief Executives,Chief Nursing Officer (CNO),CNO,02
11-1011.00,Chief Executives,Chief Operating Officer (COO),COO,"02,04,08,10"
11-1011.00,Chief Executives,Chief Technical Officer (CTO),CTO,"02,08"
11-1011.00,Chief Executives,Chief Technology Officer (CTO),CTO,01
11-1011.00,Chief Executives,Chief Warden,,08
11-1011.00,Chief Executives,Commissioner,,"04,07"
11-1011.00,Chief Executives,Consumer Affairs Director,,08
11-1011.00,Chief Executives,Corporate Executive,,09
11-1011.00,Chief Executives,Correctional Agency Director,,08
11-1011.00,Chief Executives,County Commissioner,,"04,07"
11-1011.00,Chief Executives,County Executive Director,,10
11-1011.00,Chief Executives,Deputy District Customs Director,,08
11-1011.00,Chief Executives,Deputy Insurance Commissioner,,08
11-1011.00,Chief Executives,District Customs Director,,08
11-1011.00,Chief Executives,Employment Research and Planning Director,,08
11-1011.00,Chief Executives,Employment Services Director,,08
11-1011.00,Chief Executives,Executive Director,,"02,08,10"
11-1011.00,Chief Executives,Executive Officer,,"02,10"
11-1011.00,Chief Executives,Executive Vice President (EVP),EVP,"02,08"
11-1011.00,Chief Executives,Finance Vice President (Finance VP),Finance VP,"02,08"
11-1011.00,Chief Executives,Financial Institution President,,08
11-1011.00,Chief Executives,Financial Responsibility Division Director,,08
11-1011.00,Chief Executives,Foundation Director,,09
11-1011.00,Chief Executives,Government Service Executive,,"04,08"
11-1011.00,Chief Executives,Health Commissioner,,"04,07"
11-1011.00,Chief Executives,Highway Commissioner,,"04,07"
11-1011.00,Chief Executives,Hospital CFO (Hospital Chief Financial Officer),Hospital CFO,10
11-1011.00,Chief Executives,Institution Director,,08
11-1011.00,Chief Executives,Insurance Commissioner,,"04,07"
11-1011.00,Chief Executives,Internal Revenue Commissioner,,"04,07"
11-1011.00,Chief Executives,Labor Commissioner,,"04,07"
11-1011.00,Chief Executives,Labor Standards Director,,08
11-1011.00,Chief Executives,Law Enforcement Director,,08
11-1011.00,Chief Executives,Licensing and Registration Director,,08
11-1011.00,Chief Executives,Liquor Commissioner,,"04,07"
11-1011.00,Chief Executives,Liquor Stores and Agencies Supervisor,,08
11-1011.00,Chief Executives,Media Executive,,09
11-1011.00,Chief Executives,Medical Facilities Section Director,,08
11-1011.00,Chief Executives,Music Executive,,09
11-1011.00,Chief Executives,Nonprofit Director,,09
11-1011.00,Chief Executives,Operations Vice President (Operations VP),Operations VP,"02,08"
11-1011.00,Chief Executives,Police Commissioner,,08
11-1011.00,Chief Executives,President,,"02,09,10"
11-1011.00,Chief Executives,Private Sector Executive,,08
11-1011.00,Chief Executives,Public Health Director,,09
11-1011.00,Chief Executives,Public Works Commissioner,,08
11-1011.00,Chief Executives,Public Works Director,,09
11-1011.00,Chief Executives,Railroad Commissioner,,"04,07"
11-1011.00,Chief Executives,Regulatory Agency Director,,08
11-1011.00,Chief Executives,Relocation Commissioner,,08
11-1011.00,Chief Executives,Road Commissioner,,"04,07"
11-1011.00,Chief Executives,Safety Council Director,,08
11-1011.00,Chief Executives,Staff Chief,,10
11-1011.00,Chief Executives,State Assessed Properties Director,,08
11-1011.00,Chief Executives,Tax Commissioner,,"04,07"
11-1011.00,Chief Executives,Unemployment Insurance Director,,08
11-1011.00,Chief Executives,Water Commissioner,,"04,07"
11-1011.00,Chief Executives,Welfare Director,,08
11-1011.03,Chief Sustainability Officers,Chief Environmental Commitment Officer (CECO),CECO,08
11-1011.03,Chief Sustainability Officers,Chief Green Officer (CGO),CGO,08
11-1011.03,Chief Sustainability Officers,Chief Sustainability Officer (CSO),CSO,02
11-1011.03,Chief Sustainability Officers,Climate Change and Sustainability Manager,,10
11-1011.03,Chief Sustainability Officers,Corporate Sustainability Manager,,10
11-1011.03,Chief Sustainability Officers,Corporate Sustainability Process Manager,,02
11-1011.03,Chief Sustainability Officers,CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President),CSR and Sustainability VP,02
11-1011.03,Chief Sustainability Officers,Energy and Sustainability Manager,,"02,10"
11-1011.03,Chief Sustainability Officers,Energy Sustainability Manager,,10
11-1011.03,Chief Sustainability Officers,"Energy, Sustainability, and Infrastructure Manager",,10
11-1011.03,Chief Sustainability Officers,Environmental and Sustainability Manager,,10
11-1011.03,Chief Sustainability Officers,Environmental Sustainability Manager,,10
11-1011.03,Chief Sustainability Officers,"ESG Manager (Environmental, Social, and Corporate Governance Manager)",ESG Manager,10
11-1011.03,Chief Sustainability Officers,Global Sustainability Manager,,10
11-1011.03,Chief Sustainability Officers,Sustainability Chancellor,,02
11-1011.03,Chief Sustainability Officers,Sustainability Chief,,02
11-1011.03,Chief Sustainability Officers,Sustainability Director,,"02,08"
11-1011.03,Chief Sustainability Officers,Sustainability Energy Manager,,10
11-1011.03,Chief Sustainability Officers,Sustainability Initiatives Vice President (Sustainability Initiatives VP),Sustainability Initiatives VP,02
11-1011.03,Chief Sustainability Officers,Sustainability Manager,,"02,08,10"
11-1011.03,Chief Sustainability Officers,Sustainability Programs Director,,02
11-1011.03,Chief Sustainability Officers,Sustainability Reports Director,,10
11-1011.03,Chief Sustainability Officers,Sustainability Research and Advocacy Director,,08
11-1011.03,Chief Sustainability Officers,Sustainability Strategy Manager,,10
11-1011.03,Chief Sustainability Officers,Sustainable Design Director,,"02,08"
11-1021.00,General and Operations Managers,Area Manager,,"02,10"
11-1021.00,General and Operations Managers,Boards and Commissions Director,,03
11-1021.00,General and Operations Managers,Business Coordinator,,09
11-1021.00,General and Operations Managers,Business Manager,,"02,10"
11-1021.00,General and Operations Managers,Center Manager,,02
11-1021.00,General and Operations Managers,Chief Administrative Officer (CAO),CAO,09
11-1021.00,General and Operations Managers,Corporate Manager,,09
11-1021.00,General and Operations Managers,Department Manager,,02
11-1021.00,General and Operations Managers,Department Store General Manager (Dept Store GM),Dept Store GM,04
11-1021.00,General and Operations Managers,Department Store Manager (Dept Store Manager),Dept Store Manager,"04,07,08"
11-1021.00,General and Operations Managers,District Commercial Superintendent,,"04,07"
11-1021.00,General and Operations Managers,District Manager,,"01,02,04,07,10"
11-1021.00,General and Operations Managers,District Plant Superintendent,,"04,07"
11-1021.00,General and Operations Managers,District Traffic Chief,,"04,07"
11-1021.00,General and Operations Managers,District Wire Chief,,"04,07"
11-1021.00,General and Operations Managers,Division Toll Wire Chief,,"04,07"
11-1021.00,General and Operations Managers,Division Traffic Superintendent,,"04,07"
11-1021.00,General and Operations Managers,Drilling and Production Superintendent,,"04,07"
11-1021.00,General and Operations Managers,Electrical Superintendent,,"04,07"
11-1021.00,General and Operations Managers,Equipment Maintenance Superintendent,,"04,07"
11-1021.00,General and Operations Managers,Field Party Manager,,"04,07"
11-1021.00,General and Operations Managers,Fish and Game Club Manager,,08
11-1021.00,General and Operations Managers,General Manager (GM),GM,"02,04,10"
11-1021.00,General and Operations Managers,General Superintendent,,"04,07"
11-1021.00,General and Operations Managers,Golf and Operations Manager,,08
11-1021.00,General and Operations Managers,Golf Course Manager,,09
11-1021.00,General and Operations Managers,Gym Manager,,09
11-1021.00,General and Operations Managers,Installation Superintendent,,04
11-1021.00,General and Operations Managers,IO Manager (Industrial Organization Manager),IO Manager,"04,07,08"
11-1021.00,General and Operations Managers,Laundry Superintendent,,"04,07"
11-1021.00,General and Operations Managers,Line Construction Superintendent,,"04,07"
11-1021.00,General and Operations Managers,Manufacturing Operations Manager,,"02,04,09"
11-1021.00,General and Operations Managers,Mine Superintendent,,"04,07"
11-1021.00,General and Operations Managers,Movie Theater Manager,,08
