O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand
11-1011.00,Chief Executives,Adobe Acrobat,2.E.5.b,Document management software,Y,N
11-1011.00,Chief Executives,AdSense Tracker,2.E.6.f,Data base user interface and query software,N,N
11-1011.00,Chief Executives,Atlassian JIRA,2.E.5.a,Content workflow software,Y,N
11-1011.00,Chief Executives,Blackbaud The Raiser's Edge,2.E.6.c,Customer relationship management CRM software,N,N
11-1011.00,Chief Executives,ComputerEase construction accounting software,2.E.2.a,Accounting software,N,N
11-1011.00,Chief Executives,Database reporting software,2.E.6.e,Data base reporting software,N,N
11-1011.00,Chief Executives,Databox,2.E.6.f,Data base user interface and query software,N,N
11-1011.00,Chief Executives,Email software,2.E.16.a,Electronic mail software,N,N
11-1011.00,Chief Executives,Exact Software Macola ES Labor Performance,2.E.2.e,Time accounting software,N,N
11-1011.00,Chief Executives,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N
11-1011.00,Chief Executives,Fund accounting software,2.E.2.a,Accounting software,N,N
11-1011.00,Chief Executives,Graphic presentation software,2.E.4.b,Graphics or photo imaging software,N,N
11-1011.00,Chief Executives,Halogen e360,2.E.1.c,Human resources software,N,N
11-1011.00,Chief Executives,Halogen ePraisal,2.E.1.c,Human resources software,N,N
11-1011.00,Chief Executives,HCSS HeavyBid,2.E.1.e,Project management software,N,N
11-1011.00,Chief Executives,HCSS HeavyJob,2.E.1.e,Project management software,N,N
11-1011.00,Chief Executives,Human resource information system (HRIS),2.E.1.c,Human resources software,N,N
11-1011.00,Chief Executives,Infor SSA Human Capital Management,2.E.1.c,Human resources software,N,N
11-1011.00,Chief Executives,Intuit QuickBooks,2.E.2.a,Accounting software,Y,N
11-1011.00,Chief Executives,Listserv software,2.E.16.a,Electronic mail software,N,N
11-1011.00,Chief Executives,Lyris HQ Web-Analytics Solution,2.E.9.d,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Mentimeter,2.E.4.f,Presentation software,N,N
11-1011.00,Chief Executives,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N
11-1011.00,Chief Executives,Microsoft Dynamics,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Dynamics AX,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Dynamics GP,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y
11-1011.00,Chief Executives,Microsoft FRx,2.E.2.d,Financial analysis software,N,N
11-1011.00,Chief Executives,Microsoft Office software,2.E.1.k,Office suite software,Y,Y
11-1011.00,Chief Executives,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,Y
11-1011.00,Chief Executives,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y
11-1011.00,Chief Executives,Microsoft Project,2.E.1.e,Project management software,Y,N
11-1011.00,Chief Executives,Microsoft Publisher,2.E.4.k,Desktop publishing software,N,N
11-1011.00,Chief Executives,Microsoft SharePoint,2.E.5.b,Document management software,Y,N
11-1011.00,Chief Executives,Microsoft Word,2.E.4.d,Word processing software,Y,N
11-1011.00,Chief Executives,Nedstat Sitestat,2.E.9.d,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Norchard Solutions Succession Wizard,2.E.2.e,Time accounting software,N,N
11-1011.00,Chief Executives,Online advertising reporting software,2.E.9.d,Analytical or scientific software,N,N
11-1011.00,Chief Executives,Oracle E-Business Suite,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1011.00,Chief Executives,Oracle PeopleSoft,2.E.2.b,Enterprise resource planning ERP software,Y,N
11-1011.00,Chief Executives,Oracle Siebel Server Sync,2.E.6.c,Customer relationship management CRM software,N,N
11-1011.00,Chief Executives,PHP,2.E.7.h,Web platform development software,Y,N
11-1011.00,Chief Executives,Relational database management software,2.E.6.d,Data base management system software,N,N
11-1011.00,Chief Executives,Sage 50 Accounting,2.E.2.a,Accounting software,N,N
11-1011.00,Chief Executives,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,N
11-1011.00,Chief Executives,SmugMug Flickr,2.E.4.b,Graphics or photo imaging software,N,N
11-1011.00,Chief Executives,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,N
11-1011.00,Chief Executives,Web browser software,2.E.10.e,Internet browser software,N,N
11-1011.03,Chief Sustainability Officers,Adobe Acrobat,2.E.5.b,Document management software,Y,N
11-1011.03,Chief Sustainability Officers,Adobe Photoshop,2.E.4.b,Graphics or photo imaging software,Y,N
11-1011.03,Chief Sustainability Officers,Email software,2.E.16.a,Electronic mail software,N,N
11-1011.03,Chief Sustainability Officers,Facebook,2.E.4.g,Web page creation and editing software,Y,N
11-1011.03,Chief Sustainability Officers,Management information systems MIS,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1011.03,Chief Sustainability Officers,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft Dynamics GP,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1011.03,Chief Sustainability Officers,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Office software,2.E.1.k,Office suite software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y
11-1011.03,Chief Sustainability Officers,Microsoft Project,2.E.1.e,Project management software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft SharePoint,2.E.5.b,Document management software,Y,N
11-1011.03,Chief Sustainability Officers,Microsoft Word,2.E.4.d,Word processing software,Y,N
11-1011.03,Chief Sustainability Officers,Salesforce software,2.E.6.c,Customer relationship management CRM software,Y,N
11-1011.03,Chief Sustainability Officers,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,N
11-1011.03,Chief Sustainability Officers,Scheduling software,2.E.4.h,Calendar and scheduling software,N,N
11-1011.03,Chief Sustainability Officers,Structure query language SQL,2.E.6.f,Data base user interface and query software,N,N
11-1011.03,Chief Sustainability Officers,Tableau,2.E.6.m,Business intelligence and data analysis software,Y,N
11-1011.03,Chief Sustainability Officers,Teleconferencing software,2.E.16.b,Video conferencing software,N,N
11-1011.03,Chief Sustainability Officers,Web browser software,2.E.10.e,Internet browser software,N,N
11-1021.00,General and Operations Managers,Act!,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,ActionWare,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Adobe Acrobat,2.E.5.b,Document management software,Y,N
11-1021.00,General and Operations Managers,Adobe Creative Cloud software,2.E.4.b,Graphics or photo imaging software,Y,N
11-1021.00,General and Operations Managers,Adobe Photoshop,2.E.4.b,Graphics or photo imaging software,Y,N
11-1021.00,General and Operations Managers,ADP Workforce Now,2.E.1.c,Human resources software,N,N
11-1021.00,General and Operations Managers,Airtable,2.E.6.f,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Amazon Web Services AWS software,2.E.6.f,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,AMG Teleran SalesInSync,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Apache Hadoop,2.E.6.d,Data base management system software,Y,N
11-1021.00,General and Operations Managers,Apple Final Cut Pro,2.E.4.c,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,Apple Keynote,2.E.4.f,Presentation software,N,N
11-1021.00,General and Operations Managers,Apple macOS,2.E.13.c,Operating system software,Y,N
11-1021.00,General and Operations Managers,Atlassian Confluence,2.E.1.e,Project management software,Y,N
11-1021.00,General and Operations Managers,Atlassian JIRA,2.E.5.a,Content workflow software,Y,N
11-1021.00,General and Operations Managers,Autodesk AutoCAD,2.E.9.c,Computer aided design CAD software,Y,N
11-1021.00,General and Operations Managers,Avidian Technologies Prophet,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Blackbaud The Raiser's Edge,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Blackboard software,2.E.6.f,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Citrix cloud computing software,2.E.12.a,Access software,N,N
11-1021.00,General and Operations Managers,CNC Mastercam,2.E.9.k,Computer aided manufacturing CAM software,N,N
11-1021.00,General and Operations Managers,Customer information control system CICS,2.E.6.l,Transaction server software,N,N
11-1021.00,General and Operations Managers,Database software,2.E.6.f,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Datawatch Monarch,2.E.6.g,Data mining software,N,N
11-1021.00,General and Operations Managers,Deacom ERP,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Delphi Technology,2.E.2.d,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Dropbox,2.E.16.i,Cloud-based data access and sharing software,N,N
11-1021.00,General and Operations Managers,Dynamic Energy Systems MedAct,2.E.9.i,Medical software,N,N
11-1021.00,General and Operations Managers,Eko,2.E.10.b,Desktop communications software,N,N
11-1021.00,General and Operations Managers,Evernote,2.E.4.d,Word processing software,N,N
11-1021.00,General and Operations Managers,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N
11-1021.00,General and Operations Managers,Facebook,2.E.4.g,Web page creation and editing software,Y,N
11-1021.00,General and Operations Managers,FileMaker Pro,2.E.6.f,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Flipgrid,2.E.4.c,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,Fund accounting software,2.E.2.a,Accounting software,N,N
11-1021.00,General and Operations Managers,Geographic information system GIS software,2.E.8.h,Geographic information system,N,N
11-1021.00,General and Operations Managers,Google Ads,2.E.1.l,Sales and marketing software,N,N
11-1021.00,General and Operations Managers,Google Analytics,2.E.6.g,Data mining software,Y,N
11-1021.00,General and Operations Managers,Google Docs,2.E.4.d,Word processing software,Y,N
11-1021.00,General and Operations Managers,Google Drive,2.E.16.i,Cloud-based data access and sharing software,N,N
11-1021.00,General and Operations Managers,Google Slides,2.E.4.f,Presentation software,N,N
11-1021.00,General and Operations Managers,GroupMe,2.E.16.d,Instant messaging software,N,N
11-1021.00,General and Operations Managers,HEAT Software GoldMine,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,HubSpot software,2.E.1.l,Sales and marketing software,Y,N
11-1021.00,General and Operations Managers,Human resource management software HRMS,2.E.1.c,Human resources software,N,N
11-1021.00,General and Operations Managers,IBM Cognos Impromptu,2.E.6.m,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,IBM Domino,2.E.12.b,Communications server software,N,N
11-1021.00,General and Operations Managers,IBM InfoSphere DataStage,2.E.7.c,Enterprise application integration software,N,N
11-1021.00,General and Operations Managers,IBM Notes,2.E.16.a,Electronic mail software,N,N
11-1021.00,General and Operations Managers,IBM Power Systems software,2.E.17.a,Enterprise system management software,N,N
11-1021.00,General and Operations Managers,IBM SPSS Statistics,2.E.9.d,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,InnQuest Software roomMaster,2.E.9.b,Facilities management software,N,N
11-1021.00,General and Operations Managers,Intuit QuickBooks,2.E.2.a,Accounting software,Y,N
11-1021.00,General and Operations Managers,Job control language JCL,2.E.13.c,Operating system software,N,N
11-1021.00,General and Operations Managers,Kronos Workforce Payroll,2.E.2.e,Time accounting software,N,N
11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,2.E.2.e,Time accounting software,Y,N
11-1021.00,General and Operations Managers,LexisNexis,2.E.6.h,Information retrieval or search software,N,N
11-1021.00,General and Operations Managers,LinkedIn,2.E.4.g,Web page creation and editing software,N,N
